epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,8726.81,0.38646,0.29284,1.09746,0.99804,0.99062,0.99244,0.9625,0.23399,0.15884,0.93198,0.0002755,0.0002755,0.0002755
163,8780.3,0.38853,0.29344,1.09642,0.99789,0.99062,0.99229,0.96268,0.23335,0.15929,0.93091,0.000271,0.000271,0.000271
164,8834.02,0.39031,0.29265,1.09592,0.99732,0.99062,0.9922,0.96217,0.23391,0.15904,0.93154,0.0002665,0.0002665,0.0002665
165,8887.52,0.38881,0.29455,1.09947,0.99741,0.99062,0.99241,0.96251,0.23411,0.15956,0.93167,0.000262,0.000262,0.000262
166,8940.87,0.38188,0.29222,1.09255,0.99573,0.99194,0.99233,0.96129,0.23334,0.16038,0.93183,0.0002575,0.0002575,0.0002575
167,8994.41,0.38453,0.28909,1.09506,0.99568,0.99187,0.99233,0.96176,0.23367,0.16037,0.93257,0.000253,0.000253,0.000253
168,9047.98,0.39446,0.29413,1.10076,0.99569,0.99169,0.99256,0.96186,0.23364,0.1611,0.93217,0.0002485,0.0002485,0.0002485
169,9101.74,0.38137,0.28902,1.09048,0.99613,0.99062,0.9924,0.96171,0.23469,0.16005,0.93338,0.000244,0.000244,0.000244
170,9155.61,0.37983,0.29227,1.08472,0.99674,0.99111,0.9927,0.96273,0.23467,0.15937,0.93275,0.0002395,0.0002395,0.0002395
171,9209.32,0.38708,0.29773,1.09376,0.99504,0.99225,0.99296,0.9628,0.23486,0.15896,0.9327,0.000235,0.000235,0.000235
172,9262.92,0.38262,0.28974,1.09168,0.99732,0.99054,0.99269,0.96285,0.23441,0.15866,0.93235,0.0002305,0.0002305,0.0002305
173,9316.44,0.38013,0.28687,1.0897,0.99822,0.99028,0.99366,0.96365,0.2341,0.15846,0.9323,0.000226,0.000226,0.000226
174,9369.72,0.38413,0.28539,1.0927,0.99608,0.99172,0.99359,0.96361,0.234,0.158,0.93136,0.0002215,0.0002215,0.0002215
175,9422.94,0.38388,0.28411,1.09362,0.99634,0.99172,0.99357,0.96388,0.2331,0.15659,0.93026,0.000217,0.000217,0.000217
176,9476.27,0.38436,0.29091,1.09515,0.99673,0.99062,0.99361,0.96423,0.23329,0.15681,0.93066,0.0002125,0.0002125,0.0002125
177,9529.18,0.37583,0.27841,1.0892,0.99689,0.99062,0.99367,0.96376,0.23272,0.15704,0.92984,0.000208,0.000208,0.000208
178,9581.8,0.38021,0.28442,1.09295,0.99802,0.98937,0.9937,0.96388,0.23308,0.15687,0.93042,0.0002035,0.0002035,0.0002035
179,9634.5,0.3818,0.27994,1.09005,0.99533,0.99271,0.99372,0.96392,0.23296,0.15589,0.93029,0.000199,0.000199,0.000199
180,9687.31,0.37421,0.27802,1.08459,0.99533,0.99275,0.99384,0.96396,0.23319,0.1551,0.93001,0.0001945,0.0001945,0.0001945
181,9740.4,0.37097,0.27977,1.08423,0.99531,0.99276,0.99397,0.96418,0.2331,0.15524,0.92997,0.00019,0.00019,0.00019
